,Unnamed: 0,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,DateTime,gage_height_m,discharge_cms
64,,,,65,4/17/1947,,,,,17.21,22400,,,,,,,,,,,,,,,,,,,,,,,1947-04-17 00:00:00,5.245608000000001,634.2973636608001
65,,,,66,5/13/1947,,,,,16.84,21600,,,,,,,,,,,,,,,,,,,,,,,1947-05-13 00:00:00,5.1328320000000005,611.6438863872
66,,,,67,6/27/1947,,,,,21.8,38600,,,,,,,,,,,,,,,,,,,,,,,1947-06-27 00:00:00,6.644640000000001,1093.0302784512003
67,,,,68,8/6/1947,,,,,12.63,11000,,,,,,,,,,,,,,,,,,,,,,,1947-08-06 00:00:00,3.8496240000000004,311.48531251200006
68,,,,69,9/15/1947,,,,,10.59,6360,,,,,,,,,,,,,,,,,,,,,,,1947-09-15 00:00:00,3.2278320000000003,180.09514432512003
69,,,,70,9/18/1947,,,,,10.97,7270,,,,,,,,,,,,,,,,,,,,,,,1947-09-18 00:00:00,3.343656,205.86347472384003
70,,,,71,10/17/1947,,,,,18.11,26100,,,,,,,,,,,,,,,,,,,,,,,1947-10-17 00:00:00,5.519928,739.0696960512001
71,,,,72,10/20/1947,,,,,23.58,43200,,,,,,,,,,,,,,,,,,,,,,,1947-10-20 00:00:00,7.187184,1223.2877727744
72,,,,73,12/10/1947,,,,,12.79,11700,,,,,,,,,,,,,,,,,,,,,,,1947-12-10 00:00:00,3.898392,331.3071051264001
73,,,,74,1/16/1948,,,,,13.26,12700,,,,,,,,,,,,,,,,,,,,,,,1948-01-16 00:00:00,4.041648,359.62395171840006
74,,,,75,3/9/1948,,,,,10.93,7320,,,,,,,,,,,,,,,,,,,,,,,1948-03-09 00:00:00,3.331464,207.27931705344002
75,,,,76,4/5/1948,,,,,11.27,7770,,,,,,,,,,,,,,,,,,,,,,,1948-04-05 00:00:00,3.435096,220.02189801984002
76,,,,77,5/14/1948,,,,,16.13,18600,,,,,,,,,,,,,,,,,,,,,,,1948-05-14 00:00:00,4.916424,526.6933466112001
77,,,,78,5/27/1948,,,,,25.08,52300,,,,,,,,,,,,,,,,,,,,,,,1948-05-27 00:00:00,7.644384,1480.9710767616002
78,,,,79,5/28/1948,,,,,26.72,61300,,,,,,,,,,,,,,,,,,,,,,,1948-05-28 00:00:00,8.144256,1735.8226960896002
79,,,,80,6/9/1948,,,,,25.63,53900,,,,,,,,,,,,,,,,,,,,,,,1948-06-09 00:00:00,7.812024,1526.2780313088003
80,,,,81,7/15/1948,,,,,15.58,17300,,,,,,,,,,,,,,,,,,,,,,,1948-07-15 00:00:00,4.748784000000001,489.8814460416001
81,,,,82,8/9/1948,,,,,12.78,10700,,,,,,,,,,,,,,,,,,,,,,,1948-08-09 00:00:00,3.895344,302.9902585344
82,,,,84,10/27/1948,,,,,13.08,11700,,,,,,,,,,,,,,,,,,,,,,,1948-10-27 00:00:00,3.986784,331.3071051264001
83,,,,85,11/19/1948,,,,,13.1,11800,,,,,,,,,,,,,,,,,,,,,,,1948-11-19 00:00:00,3.99288,334.13878978560007
84,,,,86,12/28/1948,,,,,11.78,9150,,,,,,,,,,,,,,,,,,,,,,,1948-12-28 00:00:00,3.590544,259.09914631680005
85,,,,87,2/8/1949,,,,,11.38,8430,,,,,,,,,,,,,,,,,,,,,,,1949-02-08 00:00:00,3.4686240000000006,238.71101677056004
86,,,,88,4/8/1949,,,,,14.91,15500,,,,,,,,,,,,,,,,,,,,,,,1949-04-08 00:00:00,4.544568,438.91112217600005
87,,,,89,5/2/1949,,,,,17.57,23000,,,,,,,,,,,,,,,,,,,,,,,1949-05-02 00:00:00,5.355336,651.2874716160001
88,,,,90,5/10/1949,,,,,23.23,41400,,,,,,,,,,,,,,,,,,,,,,,1949-05-10 00:00:00,7.080504,1172.3174489088
89,,,,91,5/13/1949,,,,,25.7,52900,,,,,,,,,,,,,,,,,,,,,,,1949-05-13 00:00:00,7.83336,1497.9611847168003
90,,,,92,5/14/1949,,,,,25.64,55200,,,,,,,,,,,,,,,,,,,,,,,1949-05-14 00:00:00,7.815072000000001,1563.0899318784002
91,,,,93,5/14/1949,,,,,25.58,52900,,,,,,,,,,,,,,,,,,,,,,,1949-05-14 00:00:00,7.796784,1497.9611847168003
92,,,,94,6/9/1949,,,,,20.12,29600,,,,,,,,,,,,,,,,,,,,,,,1949-06-09 00:00:00,6.132576,838.1786591232001
93,,,,95,7/14/1949,,,,,18.73,25900,,,,,,,,,,,,,,,,,,,,,,,1949-07-14 00:00:00,5.708904,733.4063267328002
94,,,,96,8/22/1949,,,,,12.47,9380,,,,,,,,,,,,,,,,,,,,,,,1949-08-22 00:00:00,3.8008560000000005,265.61202103296006
95,,,,97,10/12/1949,,,,,17.77,22100,,,,,,,,,,,,,,,,,,,,,,,1949-10-12 00:00:00,5.416296,625.8023096832001
96,,,,98,11/17/1949,,,,,15.8,18000,,,,,,,,,,,,,,,,,,,,,,,1949-11-17 00:00:00,4.815840000000001,509.70323865600005
97,,,,99,11/27/1949,,,,,30.26,83500,,,,,,,,,,,,,,,,,,,,,,,1949-11-27 00:00:00,9.223248000000002,2364.4566904320004
98,,,,100,11/28/1949,,,,,33.07,101000,,,,,,,,,,,,,,,,,,,,,,,1949-11-28 00:00:00,10.079736,2860.0015057920004
99,,,,101,11/29/1949,,,,,25.07,51400,,,,,,,,,,,,,,,,,,,,,,,1949-11-29 00:00:00,7.641336000000001,1455.4859148288
100,,,,102,1/20/1950,,,,,13.8,14200,,,,,,,,,,,,,,,,,,,,,,,1950-01-20 00:00:00,4.20624,402.0992216064001
101,,,,103,2/16/1950,,,,,18.76,26400,,,,,,,,,,,,,,,,,,,,,,,1950-02-16 00:00:00,5.7180480000000005,747.5647500288001
102,,,,105,5/19/1950,,,,,17.84,23100,,,,,,,,,,,,,,,,,,,,,,,1950-05-19 00:00:00,5.437632,654.1191562752001
103,,,,106,6/26/1950,,,,,20.62,33200,,,,,,,,,,,,,,,,,,,,,,,1950-06-26 00:00:00,6.284976,940.1193068544002
104,,,,107,7/27/1950,,,,,19.72,28100,,,,,,,,,,,,,,,,,,,,,,,1950-07-27 00:00:00,6.010656,795.7033892352001
105,,,,108,9/27/1950,,,,,14.73,15000,,,,,,,,,,,,,,,,,,,,,,,1950-09-27 00:00:00,4.489704000000001,424.7526988800001
106,,,,109,10/28/1950,,,,,18.72,24500,,,,,,,,,,,,,,,,,,,,,,,1950-10-28 00:00:00,5.705856,693.7627415040001
107,,,,110,12/5/1950,,,,,14.38,14100,,,,,,,,,,,,,,,,,,,,,,,1950-12-05 00:00:00,4.383024000000001,399.2675369472001
108,,,,111,1/24/1951,,,,,14.34,14700,,,,,,,,,,,,,,,,,,,,,,,1951-01-24 00:00:00,4.370832,416.25764490240005
109,,,,112,2/11/1951,,,,,36.72,145000,,,,,,,,,,,,,,,,,,,,,,,1951-02-11 00:00:00,11.192256,4105.94275584
110,,,,113,3/12/1951,,,,,12.54,9310,,,,,,,,,,,,,,,,,,,,,,,1951-03-12 00:00:00,3.822192,263.62984177152003
111,,,,114,4/5/1951,,,,,14.25,15900,,,,,,,,,,,,,,,,,,,,,,,1951-04-05 00:00:00,4.3434,450.2378608128001
112,,,,115,6/5/1951,,,,,16.42,20000,,,,,,,,,,,,,,,,,,,,,,,1951-06-05 00:00:00,5.004816000000001,566.33693184
113,,,,116,7/11/1951,,,,,14.98,17600,,,,,,,,,,,,,,,,,,,,,,,1951-07-11 00:00:00,4.565904000000001,498.3765000192001
