agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,DateTime,gage_height_m,discharge_cms
,,94,6/9/1949,,,,,20.12,29600,,,,,,,,,,,,,,,,,,,,,,,6/9/1949 0:00,6.132576,838.1786591
,,95,7/14/1949,,,,,18.73,25900,,,,,,,,,,,,,,,,,,,,,,,7/14/1949 0:00,5.708904,733.4063267
,,96,8/22/1949,,,,,12.47,9380,,,,,,,,,,,,,,,,,,,,,,,8/22/1949 0:00,3.800856,265.612021
,,97,10/12/1949,,,,,17.77,22100,,,,,,,,,,,,,,,,,,,,,,,10/12/1949 0:00,5.416296,625.8023097
,,98,11/17/1949,,,,,15.8,18000,,,,,,,,,,,,,,,,,,,,,,,11/17/1949 0:00,4.81584,509.7032387
,,99,11/27/1949,,,,,30.26,83500,,,,,,,,,,,,,,,,,,,,,,,11/27/1949 0:00,9.223248,2364.45669
,,100,11/28/1949,,,,,33.07,101000,,,,,,,,,,,,,,,,,,,,,,,11/28/1949 0:00,10.079736,2860.001506
,,101,11/29/1949,,,,,25.07,51400,,,,,,,,,,,,,,,,,,,,,,,11/29/1949 0:00,7.641336,1455.485915
,,102,1/20/1950,,,,,13.8,14200,,,,,,,,,,,,,,,,,,,,,,,1/20/1950 0:00,4.20624,402.0992216
,,103,2/16/1950,,,,,18.76,26400,,,,,,,,,,,,,,,,,,,,,,,2/16/1950 0:00,5.718048,747.56475
,,105,5/19/1950,,,,,17.84,23100,,,,,,,,,,,,,,,,,,,,,,,5/19/1950 0:00,5.437632,654.1191563
,,106,6/26/1950,,,,,20.62,33200,,,,,,,,,,,,,,,,,,,,,,,6/26/1950 0:00,6.284976,940.1193069
,,107,7/27/1950,,,,,19.72,28100,,,,,,,,,,,,,,,,,,,,,,,7/27/1950 0:00,6.010656,795.7033892
,,108,9/27/1950,,,,,14.73,15000,,,,,,,,,,,,,,,,,,,,,,,9/27/1950 0:00,4.489704,424.7526989
,,109,10/28/1950,,,,,18.72,24500,,,,,,,,,,,,,,,,,,,,,,,10/28/1950 0:00,5.705856,693.7627415
,,110,12/5/1950,,,,,14.38,14100,,,,,,,,,,,,,,,,,,,,,,,12/5/1950 0:00,4.383024,399.2675369
,,111,1/24/1951,,,,,14.34,14700,,,,,,,,,,,,,,,,,,,,,,,1/24/1951 0:00,4.370832,416.2576449
,,112,2/11/1951,,,,,36.72,145000,,,,,,,,,,,,,,,,,,,,,,,2/11/1951 0:00,11.192256,4105.942756
,,113,3/12/1951,,,,,12.54,9310,,,,,,,,,,,,,,,,,,,,,,,3/12/1951 0:00,3.822192,263.6298418
